Machine,InterpolationType,GridType,BatchSize,Time,RemovalFraction,MAE,RMSE,Max Error
CPU,Kriging,A,5000,15,nan,nan,nan,nan
GPU,Bilinear,A,5000,1,nan,nan,nan,nan
GPU,Cubic,A,5000,1,nan,nan,nan,nan
GPU,Kriging,A,5000,1,nan,nan,nan,nan
CPU,Bilinear,A,10000,2,nan,nan,nan,nan
CPU,Cubic,A,10000,7,nan,nan,nan,nan
CPU,Kriging,A,10000,31,nan,nan,nan,nan
GPU,Bilinear,A,10000,1,nan,nan,nan,nan
GPU,Cubic,A,10000,1,nan,nan,nan,nan
GPU,Kriging,A,10000,2,nan,nan,nan,nan
CPU,Bilinear,A,50000,8,nan,nan,nan,nan
CPU,Cubic,A,50000,34,nan,nan,nan,nan
CPU,Kriging,A,50000,154,nan,nan,nan,nan
GPU,Bilinear,A,50000,2,nan,nan,nan,nan
GPU,Cubic,A,50000,5,nan,nan,nan,nan
GPU,Kriging,A,50000,8,nan,nan,nan,nan
CPU,Bilinear,A,100000,15,nan,nan,nan,nan
CPU,Cubic,A,100000,71,nan,nan,nan,nan
CPU,Kriging,A,100000,325,nan,nan,nan,nan
GPU,Bilinear,A,100000,4,nan,nan,nan,nan
GPU,Cubic,A,100000,10,nan,nan,nan,nan
GPU,Kriging,A,100000,15,nan,nan,nan,nan
CPU,Bilinear,A,1000000,166,nan,nan,nan,nan
CPU,Cubic,A,1000000,678,nan,nan,nan,nan
CPU,Kriging,A,1000000,3132,nan,nan,nan,nan
GPU,Bilinear,A,1000000,35,nan,nan,nan,nan
GPU,Cubic,A,1000000,89,nan,nan,nan,nan
GPU,Kriging,A,1000000,122,nan,nan,nan,nan
CPU,Bilinear,A,5000000,792,nan,nan,nan,nan
CPU,Cubic,A,5000000,3357,nan,nan,nan,nan
CPU,Kriging,A,5000000,16784,nan,nan,nan,nan
GPU,Bilinear,A,5000000,403,nan,nan,nan,nan
GPU,Cubic,A,5000000,426,nan,nan,nan,nan
GPU,Kriging,A,5000000,563,nan,nan,nan,nan
CPU,Bilinear,A,1000,0,nan,nan,nan,nan
CPU,Cubic,A,1000,0,nan,nan,nan,nan
CPU,Kriging,A,1000,3,nan,nan,nan,nan
GPU,Bilinear,A,1000,4,nan,nan,nan,nan
GPU,Cubic,A,1000,9,nan,nan,nan,nan
GPU,Kriging,A,1000,1,nan,nan,nan,nan
CPU,Bilinear,A,5000,0,nan,nan,nan,nan
CPU,Cubic,A,5000,3,nan,nan,nan,nan
CPU,Kriging,A,5000,14,nan,nan,nan,nan
GPU,Bilinear,A,5000,1,nan,nan,nan,nan
GPU,Cubic,A,5000,1,nan,nan,nan,nan
GPU,Kriging,A,5000,1,nan,nan,nan,nan
CPU,Bilinear,A,10000,1,nan,nan,nan,nan
CPU,Cubic,A,10000,6,nan,nan,nan,nan
CPU,Kriging,A,10000,30,nan,nan,nan,nan
GPU,Bilinear,A,10000,1,nan,nan,nan,nan
GPU,Cubic,A,10000,1,nan,nan,nan,nan
GPU,Kriging,A,10000,2,nan,nan,nan,nan
CPU,Bilinear,A,50000,7,nan,nan,nan,nan
CPU,Cubic,A,50000,28,nan,nan,nan,nan
CPU,Kriging,A,50000,142,nan,nan,nan,nan
GPU,Bilinear,A,50000,2,nan,nan,nan,nan
GPU,Cubic,A,50000,5,nan,nan,nan,nan
GPU,Kriging,A,50000,8,nan,nan,nan,nan
CPU,Bilinear,A,100000,14,nan,nan,nan,nan
CPU,Cubic,A,100000,56,nan,nan,nan,nan
CPU,Kriging,A,100000,288,nan,nan,nan,nan
GPU,Bilinear,A,100000,4,nan,nan,nan,nan
GPU,Cubic,A,100000,10,nan,nan,nan,nan
GPU,Kriging,A,100000,15,nan,nan,nan,nan
CPU,Bilinear,A,1000000,139,nan,nan,nan,nan
CPU,Cubic,A,1000000,581,nan,nan,nan,nan
CPU,Kriging,A,1000000,2849,nan,nan,nan,nan
GPU,Bilinear,A,1000000,31,nan,nan,nan,nan
GPU,Cubic,A,1000000,89,nan,nan,nan,nan
GPU,Kriging,A,1000000,129,nan,nan,nan,nan
CPU,Bilinear,A,5000000,709,nan,nan,nan,nan
CPU,Cubic,A,5000000,2901,nan,nan,nan,nan
CPU,Kriging,A,5000000,14942,nan,nan,nan,nan
GPU,Bilinear,A,5000000,462,nan,nan,nan,nan
GPU,Cubic,A,5000000,420,nan,nan,nan,nan
GPU,Kriging,A,5000000,561,nan,nan,nan,nan
CPU,Bilinear,B,8101,2,0.01,3.54526,6.76434,196
CPU,Cubic,B,8101,36,0.01,3.91214,7.12105,156.5
CPU,Kriging,B,8101,42,0.01,3.37423,5.80733,168.544
GPU,Bilinear,B,8101,35,0.01,3.54526,6.76434,196
GPU,Cubic,B,8101,10,0.01,3.91214,7.12105,156.5
GPU,Kriging,B,8101,3,0.01,3.37423,5.80733,168.544
